,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prefill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Only Prefill Measurement,,,,,,,,,,Prefill+Generation Measurement,,,,,,,,,,Only Prefill Roofline,,,,,,Prefill+Generation Roofline,,,,,,,,AllGather1,,,,,AllGather2,,,,,AllGather3,,,,,AllGather4,,,,,AllReduce1,,,,,AllReduce2,,,,,AllGather1,,,,,AllGather2,,,,,AllGather3,,,,,AllGather4,,,,,AllReduce1,,,,,AllReduce2,,,,
,,Layer,Dmodel,FFN Hidden,Card Num,batch,Input_Length,Out_Length,Total Time,AllGather,AllReduce,GemmOp,DecOptMHA,MHA-MV,MHA-Soft,Binary,LayerNom,Rotary,Total Time,AllGather,AllReduce,GemmOp,DecOptMHA,MHA-MV,MHA-Soft,Binary,LayerNom,Rotary,Comp-P,Error,AllGather,Error,AllReduce,Error,Comp-GP,Error,Comp-GA,Error,AllGather,Error,AllReduce,Error,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time,Size/Card,Total Size,Trans Num,Time/Trans,Total Time
,,64,8192,43376,4,2,32,32,0.073238134,0.011099541,0.005393389,,0.002371304,,,,,,1.669950771,0.130898136,0.065122591,0.117381141,0.042261491,,,,,,,,0.0076576,31.01%,0.00410304,23.92%,,,,,0.1054688,19.43%,0.04777088,26.64%,1388032,5552128,64,79.3,0.0050752,262144,1048576,64,40.35,0.0025824,,,,,,,,,,,1048576,1048576,64,64.11,0.00410304,,,,,,43376,173504,1984,28.1,0.0557504,8192,32768,1984,21.2,0.0420608,,,,,,,,,,,32768,32768,1984,22.01,0.04366784,,,,,
,,64,8192,43376,4,2,256,256,0.256009102,0.03753375,0.012868405,,0.005965405,,,,,,13.71331515,1.089110773,0.529398318,0.11802464,0.491812818,,,,,,,,0.032512,13.38%,0.0114048,11.37%,,,,,0.837088,23.14%,0.370608,29.99%,11104256,44417024,64,408.4,0.0261376,2097152,8388608,64,99.6,0.0063744,,,,,,,,,,,8388608,8388608,64,178.2,0.0114048,,,,,,43376,173504,16320,28.1,0.458592,8192,32768,16320,21.2,0.345984,,,,,,,,,,,32768,32768,16320,22.01,0.3592032,,,,,
,,64,8192,43376,4,2,1024,1024,0.965791607,0.139652727,0.045071132,,0.046951009,,,,,,56.46501846,4.130144091,1.999011818,0.108547842,4.207594091,,,,,,,,0.1219712,12.66%,0.0399744,11.31%,,,,,3.3497408,18.90%,1.48101312,25.91%,44417024,177668096,64,1591.6,0.1018624,8388608,33554432,64,314.2,0.0201088,,,,,,,,,,,33554432,33554432,64,624.6,0.0399744,,,,,,43376,173504,65472,28.1,1.8397632,8192,32768,65472,21.2,1.3880064,,,,,,,,,,,32768,32768,65472,22.01,1.44103872,,,,,
,,64,8192,43376,4,2,1500,548,1.464706516,0.200959682,0.064381027,,0.117288773,,,,,,31.375315,2.326473182,1.093547818,0.109003559,2.575753182,,,,,,,,0.1807936,10.03%,0.0573248,10.96%,,,,,1.906688,18.04%,0.82785088,24.30%,65064000,260256000,64,2377.6,0.1521664,12288000,49152000,64,447.3,0.0286272,,,,,,,,,,,49152000,49152000,64,895.7,0.0573248,,,,,,43376,173504,35008,28.1,0.9837248,8192,32768,35008,21.2,0.7421696,,,,,,,,,,,32768,32768,35008,22.01,0.77052608,,,,,
,,64,8192,43376,4,4,32,32,0.096297312,0.014357068,0.007283934,,0.002637866,,,,,,1.722255421,0.146331455,0.066744109,0.12371891,0.043577523,,,,,,,,0.01154304,19.60%,0.00593536,18.51%,,,,,0.11532608,21.19%,0.05408704,18.96%,2776064,11104256,64,124,0.007936,524288,2097152,64,56.36,0.00360704,,,,,,,,,,,2097152,2097152,64,92.74,0.00593536,,,,,,86752,347008,1984,28.9,0.0573376,16384,65536,1984,23.41,0.04644544,,,,,,,,,,,65536,65536,1984,24.27,0.04815168,,,,,
,,64,8192,43376,4,4,256,256,0.486567545,0.075934832,0.024039005,,0.010998795,,,,,,14.32749481,1.188905909,0.544410955,0.120978363,0.659430682,,,,,,,,0.0620992,18.22%,0.020928,12.94%,,,,,0.9157984,22.97%,0.4170144,23.40%,22208512,88834048,64,797.4,0.0510336,4194304,16777216,64,172.9,0.0110656,,,,,,,,,,,16777216,16777216,64,327,0.020928,,,,,,86752,347008,16320,28.9,0.471648,16384,65536,16320,23.41,0.3820512,,,,,,,,,,,65536,65536,16320,24.27,0.3960864,,,,,
,,64,8192,43376,4,4,1024,1024,1.914624453,0.273646636,0.087457141,,0.09070085,,,,,,61.55166316,4.786000909,2.200343636,0.113503749,6.782317273,,,,,,,,0.2409664,11.94%,0.0771584,11.78%,,,,,3.66580672,23.41%,1.66616384,24.28%,88834048,355336192,64,3168.3,0.2027712,16777216,67108864,64,596.8,0.0381952,,,,,,,,,,,67108864,67108864,64,1205.6,0.0771584,,,,,,86752,347008,65472,28.9,1.8921408,16384,65536,65472,23.41,1.53269952,,,,,,,,,,,65536,65536,65472,24.27,1.58900544,,,,,
,,64,8192,43376,4,4,1500,548,2.891456747,0.397303364,0.129561545,,0.228324636,,,,,,34.8069736,2.729765909,1.194615,0.112746973,4.224192273,,,,,,,,0.36009728,9.36%,0.11220096,13.40%,,,,,2.19136576,19.72%,0.96184512,19.48%,130128000,520512000,64,4749.7,0.3039808,24576000,98304000,64,876.82,0.05611648,,,,,,,,,,,98304000,98304000,64,1753.14,0.11220096,,,,,,86752,347008,35008,28.9,1.0117312,16384,65536,35008,23.41,0.81953728,,,,,,,,,,,65536,65536,35008,24.27,0.84964416,,,,,
,M6-13B-8k,40,5120,27392,2,1,32,32,,,,,,,,,,,,,,,,,,,,,,,,,0.0035028,#DIV/0!,,,,,,,0.0309254,#DIV/0!,,,,,,,,,,,,,,,,,,,,,327680,327680,40,43.785,0.0017514,327680,327680,40,43.785,0.0017514,,,,,,,,,,,,,,,,,,,,,10240,10240,1240,11.0575,0.0137113,10240,10240,1240,11.0575,0.0137113
,,40,5120,27392,2,1,256,256,,,,,,,,,,,,,,,,,,,,,,,,,0.01107,#DIV/0!,,,,,,,0.236643,#DIV/0!,,,,,,,,,,,,,,,,,,,,,2621440,2621440,40,138.375,0.005535,2621440,2621440,40,138.375,0.005535,,,,,,,,,,,,,,,,,,,,,10240,10240,10200,11.0575,0.1127865,10240,10240,10200,11.0575,0.1127865
